Wall time,Step,Value
1731466707.378873,76,-1282.1961669921875
1731466716.3863442,161,-1261.3118896484375
1731466726.9310713,261,-1294.06396484375
1731466732.198243,310,-1264.269775390625
1731466741.9241462,402,-1265.704345703125
1731466748.3451254,462,-1247.2423095703125
1731466753.7178676,512,-1236.4593505859375
1731466766.0172703,629,-1246.302978515625
1731466773.7678673,702,-1245.3175048828125
1731466781.4076865,774,-1244.0877685546875
1731466789.4684627,850,-1246.3287353515625
1731466795.8690217,910,-1245.8409423828125
1731466804.5532842,992,-1226.85498046875
1731466832.1201267,1079,-1221.1583251953125
1731466840.80351,1160,-1215.8026123046875
1731466845.0851707,1199,-1210.5157470703125
1731466853.668945,1279,-1198.4888916015625
1731466857.4182973,1313,-1197.130859375
1731466864.5341878,1379,-1189.9808349609375
1731466869.35138,1423,-1190.4759521484375
1731466876.6019154,1490,-1189.2110595703125
1731466881.100928,1531,-1192.2108154296875
1731466885.6934097,1573,-1190.9268798828125
1731466890.0857296,1613,-1192.0653076171875
1731466894.2583153,1651,-1192.6751708984375
1731466898.5363524,1690,-1190.09619140625
1731466902.9253159,1730,-1189.7979736328125
1731466907.3030548,1770,-1184.9337158203125
1731466911.369279,1807,-1186.0284423828125
1731466915.7691967,1847,-1184.608642578125
1731466920.152626,1887,-1187.59765625
1731466924.753538,1929,-1190.478271484375
1731466929.253368,1970,-1187.389404296875
1731466938.9288352,2011,-1187.6016845703125
1731466943.5455794,2053,-1187.485107421875
1731466948.0535665,2094,-1186.9500732421875
1731466952.437995,2134,-1186.5889892578125
1731466956.9375315,2175,-1196.2822265625
1731466961.3380997,2215,-1200.3284912109375
1731466965.939759,2257,-1204.2764892578125
1731466970.339205,2297,-1208.157470703125
1731466974.8372426,2338,-1217.277099609375
1731466979.4599705,2380,-1220.2447509765625
1731466984.0831802,2422,-1226.6982421875
1731467000.5613878,2577,-1214.8388671875
1731467003.3714275,2602,-1215.5357666015625
1731467005.9964654,2625,-1211.8193359375
1731467008.7056766,2649,-1211.475341796875
1731467015.955879,2716,-1205.6988525390625
1731467023.204797,2783,-1199.0987548828125
1731467025.9395401,2807,-1197.151611328125
1731467033.2722173,2875,-1188.9140625
1731467035.9897578,2899,-1185.4993896484375
1731467038.8067868,2924,-1180.480712890625
1731467046.0503871,2991,-1172.6845703125
1731467075.3495123,3105,-1161.12890625
1731467078.0909424,3129,-1156.986572265625
1731467080.8340025,3153,-1153.649658203125
1731467083.5783427,3177,-1149.682861328125
1731467086.3351123,3201,-1146.5760498046875
1731467089.0716476,3225,-1141.9078369140625
1731467091.6903958,3248,-1138.48193359375
1731467094.305701,3271,-1135.22021484375
1731467101.6726308,3339,-1127.9342041015625
1731467109.0140033,3407,-1121.4935302734375
1731467111.7148068,3431,-1116.25341796875
1731467119.2684324,3501,-1108.70947265625
1731467126.3923404,3567,-1101.477783203125
1731467129.1256814,3591,-1098.6414794921875
1731467131.8660638,3615,-1109.012451171875
1731467134.591758,3639,-1108.4468994140625
1731467137.3237903,3663,-1107.2384033203125
1731467140.0567412,3687,-1107.3341064453125
1731467142.7751708,3711,-1109.0806884765625
1731467145.508434,3735,-1114.7420654296875
1731467148.2444959,3759,-1114.603271484375
1731467150.976186,3783,-1120.496826171875
1731467158.4417663,3852,-1118.276123046875
1731467161.374516,3878,-1121.9290771484375
1731467163.9925888,3901,-1126.858642578125
1731467171.342596,3969,-1132.4993896484375
1731467174.0652003,3993,-1132.9415283203125
1731467180.4978273,4017,-1133.2606201171875
1731467183.2077708,4041,-1132.646240234375
1731467195.2470117,4154,-1126.7010498046875
1731467202.9738796,4226,-1124.1370849609375
1731467205.9075544,4252,-1125.4730224609375
1731467208.948918,4279,-1123.8319091796875
1731467217.8583605,4362,-1120.762939453125
1731467225.4917119,4433,-1118.2872314453125
1731467228.7300057,4462,-1119.8341064453125
1731467231.8589463,4490,-1110.249755859375
1731467244.6317067,4610,-1104.1282958984375
1731467256.9826767,4726,-1092.788818359375
1731467261.8919291,4771,-1090.1112060546875
1731467283.0553224,4971,-1070.684326171875
