Wall time,Step,Value
1731494951.7930696,58,-1061.6783447265625
1731494955.7701898,93,-1040.0777587890625
1731494963.019329,159,-1040.182373046875
1731494970.6755257,229,-1039.078125
1731494976.8479893,285,-1040.743896484375
1731494982.379228,335,-1038.86962890625
1731494987.9317205,385,-1038.07861328125
1731494992.8217216,429,-1037.375
1731494997.1823351,468,-1036.17333984375
1731495002.0837696,512,-1034.363525390625
1731495007.9760818,565,-1033.601318359375
1731495011.3900342,595,-1032.7357177734375
1731495015.109051,628,-1032.4603271484375
1731495021.075342,682,-1034.484130859375
1731495025.119245,718,-1033.5504150390625
1731495029.9219518,761,-1033.35107421875
1731495034.5130985,802,-1032.9766845703125
1731495038.2475774,835,-1032.555908203125
1731495044.3366418,890,-1032.1492919921875
1731495048.1796012,924,-1031.9842529296875
1731495051.7189567,955,-1031.58349609375
1731495056.3146334,996,-1031.6650390625
1731495069.9926274,1064,-1032.8082275390625
1731495077.0226192,1127,-1033.58984375
1731495089.3139946,1239,-1026.976806640625
1731495094.3891542,1284,-1025.4593505859375
1731495098.381429,1319,-1024.911376953125
1731495100.7591958,1339,-1023.5169067382812
1731495103.5546367,1363,-1022.2556762695312
1731495106.1449306,1385,-1020.4013061523438
1731495108.740817,1407,-1019.27197265625
1731495111.3538647,1429,-1018.079345703125
1731495113.954043,1451,-1016.9329833984375
1731495117.4036489,1481,-1015.9473266601562
1731495121.9620302,1521,-1015.39306640625
1731495126.5987766,1562,-1014.5890502929688
1731495131.6688926,1607,-1013.7588500976562
1731495137.1921964,1656,-1012.6839599609375
1731495154.808918,1817,-981.862548828125
1731495207.2538443,2050,-939.5549926757812
1731495229.079183,2250,-897.0571899414062
1731495250.93202,2450,-854.6533203125
1731495272.712558,2650,-812.2000122070312
1731495294.5608816,2850,-769.9219970703125
1731495343.5668776,3050,-727.3933715820312
1731495365.4889686,3250,-685.0155639648438
1731495387.3437696,3450,-642.3533935546875
1731495409.1879168,3650,-598.9378662109375
1731495431.0447998,3850,-555.5224609375
1731495480.1652992,4050,-519.311767578125
1731495502.056149,4250,-476.96429443359375
1731495523.8632698,4450,-435.3518981933594
1731495545.7065735,4650,-393.732421875
1731495567.626637,4850,-352.2013854980469
